Thu Apr  2 17:07:39 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA L4                      Off |   00000000:81:00.0 Off |                    0 |
| N/A   32C    P8             15W /   72W |       0MiB /  23034MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Evaluation returns: 149.04543130876382
Evaluation returns: 140.09069507512262
Evaluation returns: 140.15088244412183
Evaluation returns: 135.64934436370208
Evaluation returns: 124.9489449793783
Evaluation returns: 115.59415396420677
Evaluation returns: 109.29026936410928
Evaluation returns: 102.56705456797314
Evaluation returns: 104.47845474713331
Evaluation returns: 116.89971212780696
Evaluation returns: 122.2117915025073
Evaluation returns: 133.57951804195494
Evaluation returns: 135.47262261261014
Evaluation returns: 148.63830969588992
Evaluation returns: 163.6670931383848
Evaluation returns: 171.9639629321662
Evaluation returns: 185.49366304866552
Evaluation returns: 199.73705253252308
Evaluation returns: 206.46092376471785
Evaluation returns: 203.89506333960466
Evaluation returns: 203.1878755451678
Evaluation returns: 202.23163640805188
Evaluation returns: 208.7609374039811
Evaluation returns: 212.96874298971952
Evaluation returns: 214.43993941432217
Evaluation returns: 217.7315521843055
Evaluation returns: 220.2657332211746
Evaluation returns: 221.16592716910813
Evaluation returns: 223.74931797862013
Evaluation returns: 228.85971110567888
Evaluation returns: 231.70653030044338
Evaluation returns: 230.59229503308666
Evaluation returns: 228.63479450429764
Evaluation returns: 228.96318576974505
Evaluation returns: 229.30512320159747
Evaluation returns: 230.97095686965176
Evaluation returns: 227.1693860933231
Evaluation returns: 223.1647001823216
Evaluation returns: 224.75827583254167
Evaluation returns: 219.25036103220174
Evaluation returns: 219.02020177142884
Evaluation returns: 220.65151133076841
Evaluation returns: 218.39514854370776
Evaluation returns: 219.40440345593902
Evaluation returns: 217.92523190394144
Evaluation returns: 212.45527534566227
Evaluation returns: 210.2360899646466
Evaluation returns: 215.46485608597877
Evaluation returns: 209.17831527731119
Evaluation returns: 209.76424957005497
Evaluation returns: 204.69830703040424
Evaluation returns: 202.96240281681392
Evaluation returns: 201.17653571199037
Evaluation returns: 200.60641283934933
Evaluation returns: 200.8698985353854
Evaluation returns: 207.7769130264819
Evaluation returns: 210.30845435937914
Evaluation returns: 208.95454327522953
Evaluation returns: 215.3524353821665
Evaluation returns: 216.2212499823529
Evaluation returns: 219.8656488594645
Evaluation returns: 221.8304500648482
Evaluation returns: 226.393722585648
Evaluation returns: 224.0107467654653
Evaluation returns: 222.6521007356665
Evaluation returns: 221.11872334620926
Evaluation returns: 227.43154553460482
Evaluation returns: 227.64393416007965
Evaluation returns: 229.44317586045372
Evaluation returns: 233.04802542587646
Evaluation returns: 233.4831618413466
Evaluation returns: 230.09516027533974
Evaluation returns: 228.07145386404585
Evaluation returns: 228.67633005906583
Evaluation returns: 232.29115914079534
Evaluation returns: 232.63457308560933
Evaluation returns: 232.64789899162398
Evaluation returns: 231.50057226237982
Evaluation returns: 226.1665280052116
Evaluation returns: 225.38339694069865
Evaluation returns: 222.0757356146089
Evaluation returns: 223.6362056811929
Evaluation returns: 225.19236719187583
Evaluation returns: 224.3386362216157
Evaluation returns: 218.90214640866526
Evaluation returns: 214.10362349128505
Evaluation returns: 207.8632488054146
Evaluation returns: 207.1143620044204
Evaluation returns: 210.92285784836207
Evaluation returns: 208.37191347025743
Evaluation returns: 211.21304400335984
Evaluation returns: 214.13808546536947
Evaluation returns: 211.65973745502188
Evaluation returns: 215.96967248648622
Evaluation returns: 221.151454492351
Evaluation returns: 213.91452712389173
Evaluation returns: 207.61880436141638
Evaluation returns: 202.24366189219344
Evaluation returns: 196.59104204980426
Evaluation returns: 195.7486170437333
Evaluation returns: 196.0265603994076
Evaluation returns: 196.55478255417603
Evaluation returns: 201.13287229595377
Evaluation returns: 201.16412712793812
Evaluation returns: 199.71592442936566
Evaluation returns: 204.70237607797606
Evaluation returns: 211.2925402835928
Evaluation returns: 213.08358821530396
Evaluation returns: 209.55920887394268
Evaluation returns: 209.3836060891068
Evaluation returns: 210.14352535365933
Evaluation returns: 209.50117298418235
Evaluation returns: 203.3388458472898
Evaluation returns: 203.92739391642084
Evaluation returns: 204.51847802306966
Evaluation returns: 207.16497761301002
Evaluation returns: 198.92929736496768
Evaluation returns: 200.3318318284775
Evaluation returns: 201.5984650977776
Evaluation returns: 203.41825209609937
Evaluation returns: 198.87115876816037
Evaluation returns: 195.39031977947158
Evaluation returns: 192.12381947561795
Evaluation returns: 192.22384932342786
Evaluation returns: 189.76851739889833
Evaluation returns: 191.09287237221244
Evaluation returns: 200.90737912898751
Evaluation returns: 206.91971885485796
Evaluation returns: 211.78996141517368
Evaluation returns: 209.170980504562
Evaluation returns: 205.6239872489537
Evaluation returns: 208.49574579846058
Evaluation returns: 216.3476842065035
Evaluation returns: 215.38004795275748
Evaluation returns: 216.74475801238412
Evaluation returns: 219.46018916254957
Evaluation returns: 214.33181368319842
Evaluation returns: 209.52230694449327
Evaluation returns: 207.0768047968291
Evaluation returns: 211.6988295460178
Evaluation returns: 219.3322501626555
Evaluation returns: 221.04397761630017
Evaluation returns: 221.59310126580095
Evaluation returns: 222.304036178676
Evaluation returns: 225.42020385596894
Evaluation returns: 224.7892891433136
Evaluation returns: 229.9359223237654
Evaluation returns: 235.5246084017493
Evaluation returns: 241.25418417517986
Evaluation returns: 242.6693166669448
Evaluation returns: 243.6766981452484
Evaluation returns: 242.8357323725826
Evaluation returns: 240.4712810334072
Evaluation returns: 240.65488325942178
Evaluation returns: 238.95999113024965
Evaluation returns: 237.91490254443684
Evaluation returns: 240.71490676256568
Evaluation returns: 241.30654843026076
Evaluation returns: 241.35704392277916
Evaluation returns: 241.56397121468362
Evaluation returns: 242.06922107210562
Evaluation returns: 244.05503857120257
Evaluation returns: 246.35029843602734
Evaluation returns: 246.85691572778669
Evaluation returns: 249.51368386261356
Evaluation returns: 253.87448934329237
Evaluation returns: 254.73985945067358
Evaluation returns: 252.73421423982217
Evaluation returns: 245.7373268036716
Evaluation returns: 244.27892659657397
Evaluation returns: 241.1176497606973
Evaluation returns: 241.23102369423668
Evaluation returns: 243.8630268779838
Evaluation returns: 241.93967415693697
