Tue Jun 23 18:39:36 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 550.54.14              Driver Version: 550.54.14      CUDA Version: 12.4     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A16                     Off |   00000000:C5:00.0 Off |                    0 |
|  0%   42C    P0             19W /   62W |       0MiB /  15356MiB |      0%      Default |
|                                         |                        |                  N/A |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI        PID   Type   Process name                              GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
Step: 100, Returns: nan, Epsilon: 0.9998
Step: 15500, Returns: -20.310, Epsilon: 0.9616
Step: 15600, Returns: -20.310, Epsilon: 0.9614
Step: 15700, Returns: -20.300, Epsilon: 0.9611
Step: 15800, Returns: -20.300, Epsilon: 0.9609
Step: 15900, Returns: -20.280, Epsilon: 0.9606
Step: 16000, Returns: -20.270, Epsilon: 0.9604
Step: 16100, Returns: -20.290, Epsilon: 0.9602
Step: 16200, Returns: -20.290, Epsilon: 0.9599
Step: 16300, Returns: -20.240, Epsilon: 0.9597
Step: 16400, Returns: -20.240, Epsilon: 0.9594
Step: 16500, Returns: -20.230, Epsilon: 0.9592
Updating target network...
Step: 16600, Returns: -20.220, Epsilon: 0.9589
Step: 16700, Returns: -20.220, Epsilon: 0.9587
Step: 16800, Returns: -20.220, Epsilon: 0.9584
Step: 16900, Returns: -20.210, Epsilon: 0.9582
Step: 17000, Returns: -20.200, Epsilon: 0.9579
Step: 17100, Returns: -20.230, Epsilon: 0.9577
Step: 17200, Returns: -20.240, Epsilon: 0.9574
Step: 17300, Returns: -20.260, Epsilon: 0.9572
Step: 17400, Returns: -20.240, Epsilon: 0.9569
Step: 17500, Returns: -20.230, Epsilon: 0.9567
Step: 17600, Returns: -20.230, Epsilon: 0.9564
Step: 17700, Returns: -20.230, Epsilon: 0.9562
Step: 17800, Returns: -20.220, Epsilon: 0.9559
Updating target network...
Step: 17900, Returns: -20.230, Epsilon: 0.9557
Step: 18000, Returns: -20.250, Epsilon: 0.9555
Step: 18100, Returns: -20.260, Epsilon: 0.9552
Step: 18200, Returns: -20.250, Epsilon: 0.9550
Step: 18300, Returns: -20.250, Epsilon: 0.9547
Step: 18400, Returns: -20.250, Epsilon: 0.9545
Step: 18500, Returns: -20.250, Epsilon: 0.9542
Step: 18600, Returns: -20.260, Epsilon: 0.9540
Step: 18700, Returns: -20.260, Epsilon: 0.9537
Step: 18800, Returns: -20.230, Epsilon: 0.9535
Step: 18900, Returns: -20.250, Epsilon: 0.9532
Step: 19000, Returns: -20.250, Epsilon: 0.9530
Updating target network...
Step: 19100, Returns: -20.300, Epsilon: 0.9527
Step: 19200, Returns: -20.300, Epsilon: 0.9525
Step: 19300, Returns: -20.310, Epsilon: 0.9522
Step: 19400, Returns: -20.310, Epsilon: 0.9520
Step: 19500, Returns: -20.310, Epsilon: 0.9517
Step: 19600, Returns: -20.310, Epsilon: 0.9515
Step: 19700, Returns: -20.310, Epsilon: 0.9512
Step: 19800, Returns: -20.310, Epsilon: 0.9510
Step: 19900, Returns: -20.290, Epsilon: 0.9507
Step: 20000, Returns: -20.300, Epsilon: 0.9505
Step: 20100, Returns: -20.290, Epsilon: 0.9503
Step: 20200, Returns: -20.310, Epsilon: 0.9500
Step: 20300, Returns: -20.310, Epsilon: 0.9498
Updating target network...
Step: 20400, Returns: -20.300, Epsilon: 0.9495
Step: 20500, Returns: -20.280, Epsilon: 0.9493
Step: 20600, Returns: -20.280, Epsilon: 0.9490
Step: 20700, Returns: -20.280, Epsilon: 0.9488
Step: 20800, Returns: -20.260, Epsilon: 0.9485
Step: 20900, Returns: -20.260, Epsilon: 0.9483
Step: 21000, Returns: -20.270, Epsilon: 0.9480
Step: 21100, Returns: -20.260, Epsilon: 0.9478
Step: 21200, Returns: -20.240, Epsilon: 0.9475
Step: 21300, Returns: -20.230, Epsilon: 0.9473
Step: 21400, Returns: -20.220, Epsilon: 0.9470
Step: 21500, Returns: -20.210, Epsilon: 0.9468
Updating target network...
Step: 21600, Returns: -20.220, Epsilon: 0.9465
Step: 21700, Returns: -20.220, Epsilon: 0.9463
Step: 21800, Returns: -20.240, Epsilon: 0.9460
Step: 21900, Returns: -20.230, Epsilon: 0.9458
Step: 22000, Returns: -20.210, Epsilon: 0.9456
Step: 22100, Returns: -20.240, Epsilon: 0.9453
Step: 22200, Returns: -20.250, Epsilon: 0.9451
Step: 22300, Returns: -20.240, Epsilon: 0.9448
Step: 22400, Returns: -20.260, Epsilon: 0.9446
Step: 22500, Returns: -20.260, Epsilon: 0.9443
Step: 22600, Returns: -20.280, Epsilon: 0.9441
Step: 22700, Returns: -20.290, Epsilon: 0.9438
Step: 22800, Returns: -20.270, Epsilon: 0.9436
Updating target network...
Step: 22900, Returns: -20.280, Epsilon: 0.9433
Step: 23000, Returns: -20.270, Epsilon: 0.9431
Step: 23100, Returns: -20.260, Epsilon: 0.9428
Step: 23200, Returns: -20.260, Epsilon: 0.9426
Step: 23300, Returns: -20.260, Epsilon: 0.9423
Step: 23400, Returns: -20.260, Epsilon: 0.9421
Step: 23500, Returns: -20.280, Epsilon: 0.9418
Step: 23600, Returns: -20.280, Epsilon: 0.9416
Step: 23700, Returns: -20.280, Epsilon: 0.9413
Step: 23800, Returns: -20.280, Epsilon: 0.9411
Step: 23900, Returns: -20.280, Epsilon: 0.9408
Step: 24000, Returns: -20.290, Epsilon: 0.9406
Updating target network...
Step: 24100, Returns: -20.270, Epsilon: 0.9404
Step: 24200, Returns: -20.270, Epsilon: 0.9401
Step: 24300, Returns: -20.270, Epsilon: 0.9399
Step: 24400, Returns: -20.270, Epsilon: 0.9396
Step: 24500, Returns: -20.270, Epsilon: 0.9394
Step: 24600, Returns: -20.270, Epsilon: 0.9391
Step: 24700, Returns: -20.270, Epsilon: 0.9389
Step: 24800, Returns: -20.280, Epsilon: 0.9386
Step: 24900, Returns: -20.270, Epsilon: 0.9384
Step: 25000, Returns: -20.270, Epsilon: 0.9381
Step: 25100, Returns: -20.260, Epsilon: 0.9379
Step: 25200, Returns: -20.270, Epsilon: 0.9376
Step: 25300, Returns: -20.270, Epsilon: 0.9374
Updating target network...
Step: 25400, Returns: -20.200, Epsilon: 0.9371
Step: 25500, Returns: -20.170, Epsilon: 0.9369
Step: 25600, Returns: -20.180, Epsilon: 0.9366
Step: 25700, Returns: -20.160, Epsilon: 0.9364
Step: 25800, Returns: -20.180, Epsilon: 0.9361
Step: 25900, Returns: -20.170, Epsilon: 0.9359
Step: 26000, Returns: -20.170, Epsilon: 0.9357
Step: 26100, Returns: -20.180, Epsilon: 0.9354
Step: 26200, Returns: -20.170, Epsilon: 0.9352
Step: 26300, Returns: -20.210, Epsilon: 0.9349
Step: 26400, Returns: -20.220, Epsilon: 0.9347
Step: 26500, Returns: -20.230, Epsilon: 0.9344
Updating target network...
Step: 26600, Returns: -20.230, Epsilon: 0.9342
Step: 26700, Returns: -20.240, Epsilon: 0.9339
Step: 26800, Returns: -20.220, Epsilon: 0.9337
Step: 26900, Returns: -20.220, Epsilon: 0.9334
Step: 27000, Returns: -20.220, Epsilon: 0.9332
Step: 27100, Returns: -20.200, Epsilon: 0.9329
Step: 27200, Returns: -20.190, Epsilon: 0.9327
Step: 27300, Returns: -20.190, Epsilon: 0.9324
Step: 27400, Returns: -20.190, Epsilon: 0.9322
Step: 27500, Returns: -20.190, Epsilon: 0.9319
Step: 27600, Returns: -20.160, Epsilon: 0.9317
Step: 27700, Returns: -20.150, Epsilon: 0.9314
Step: 27800, Returns: -20.150, Epsilon: 0.9312
Updating target network...
Step: 27900, Returns: -20.160, Epsilon: 0.9309
Step: 28000, Returns: -20.200, Epsilon: 0.9307
Step: 28100, Returns: -20.200, Epsilon: 0.9305
Step: 28200, Returns: -20.180, Epsilon: 0.9302
Step: 28300, Returns: -20.190, Epsilon: 0.9300
Step: 28400, Returns: -20.180, Epsilon: 0.9297
Step: 28500, Returns: -20.180, Epsilon: 0.9295
Step: 28600, Returns: -20.170, Epsilon: 0.9292
Step: 28700, Returns: -20.170, Epsilon: 0.9290
Step: 28800, Returns: -20.180, Epsilon: 0.9287
Step: 28900, Returns: -20.210, Epsilon: 0.9285
Step: 29000, Returns: -20.200, Epsilon: 0.9282
Updating target network...
Step: 29100, Returns: -20.200, Epsilon: 0.9280
Step: 29200, Returns: -20.210, Epsilon: 0.9277
Step: 29300, Returns: -20.180, Epsilon: 0.9275
Step: 29400, Returns: -20.200, Epsilon: 0.9272
Step: 29500, Returns: -20.200, Epsilon: 0.9270
Step: 29600, Returns: -20.170, Epsilon: 0.9267
Step: 29700, Returns: -20.170, Epsilon: 0.9265
Step: 29800, Returns: -20.170, Epsilon: 0.9262
Step: 29900, Returns: -20.170, Epsilon: 0.9260
Step: 30000, Returns: -20.160, Epsilon: 0.9258
Step: 30100, Returns: -20.160, Epsilon: 0.9255
Step: 30200, Returns: -20.160, Epsilon: 0.9253
Step: 30300, Returns: -20.170, Epsilon: 0.9250
Updating target network...
Step: 30400, Returns: -20.170, Epsilon: 0.9248
Step: 30500, Returns: -20.170, Epsilon: 0.9245
Step: 30600, Returns: -20.170, Epsilon: 0.9243
Step: 30700, Returns: -20.170, Epsilon: 0.9240
Step: 30800, Returns: -20.160, Epsilon: 0.9238
Step: 30900, Returns: -20.150, Epsilon: 0.9235
Step: 31000, Returns: -20.140, Epsilon: 0.9233
Step: 31100, Returns: -20.140, Epsilon: 0.9230
Step: 31200, Returns: -20.130, Epsilon: 0.9228
Step: 31300, Returns: -20.130, Epsilon: 0.9225
Step: 31400, Returns: -20.170, Epsilon: 0.9223
Step: 31500, Returns: -20.180, Epsilon: 0.9220
Updating target network...
Step: 31600, Returns: -20.180, Epsilon: 0.9218
Step: 31700, Returns: -20.210, Epsilon: 0.9215
Step: 31800, Returns: -20.210, Epsilon: 0.9213
Step: 31900, Returns: -20.220, Epsilon: 0.9210
Step: 32000, Returns: -20.220, Epsilon: 0.9208
Step: 32100, Returns: -20.210, Epsilon: 0.9206
Step: 32200, Returns: -20.190, Epsilon: 0.9203
Step: 32300, Returns: -20.180, Epsilon: 0.9201
Step: 32400, Returns: -20.160, Epsilon: 0.9198
Step: 32500, Returns: -20.140, Epsilon: 0.9196
